 Omnivariance, Eigenentropy, Anisotropy, Linearity, Surface Variation, Class
0.133,0.7986,-3.611,-1.153,0.5939,1
0.1673,0.8597,-4.014,-1.194,0.6109,1
0.1294,0.786,-3.41,-0.7783,0.6135,1
0.126,0.7793,-3.837,-1.11,0.6087,1
0.1414,0.8191,-3.181,-0.9788,0.584,1
0.1337,0.799,-4.071,-1.317,0.6046,1
0.1314,0.7937,-3.524,-1.027,0.5991,1
0.1279,0.7825,-3.581,-0.8881,0.6133,1
0.1654,0.8549,-4.242,-1.281,0.615,1
0.1633,0.8614,-3.439,-1.114,0.5877,1
0.1677,0.8654,-3.611,-1.101,0.5979,1
0.123,0.7471,-4.749,-0.3158,0.7128,1
0.1292,0.7861,-3.502,-0.8728,0.6105,1
0.1601,0.8558,-3.562,-1.206,0.5873,1
0.1663,0.8588,-3.929,-1.152,0.61,1
0.1667,0.86,-4.002,-1.233,0.6074,1
0.1336,0.7955,-3.334,-0.714,0.6149,1
0.1633,0.856,-3.833,-1.165,0.6043,1
0.1613,0.8547,-3.758,-1.19,0.5986,1
0.1343,0.7991,-4.217,-1.301,0.6125,1
0.122,0.7448,-5.282,-0.5122,0.7144,1
0.07881,0.6248,-5.502,-0.5905,0.7151,1
0.06848,0.5872,-6.628,-1.009,0.7171,1
0.1291,0.7915,-2.769,-0.972,0.5591,1
0.1161,0.7377,-4.6,-0.4591,0.6949,1
0.1486,0.8252,-4.199,-1.14,0.6235,1
0.1455,0.8289,-3.167,-1.012,0.5804,1
0.1618,0.8578,-3.502,-1.11,0.5914,1
0.1405,0.8171,-3.179,-0.9703,0.5845,1
0.1642,0.8586,-3.957,-1.318,0.5991,1
0.1497,0.8277,-4.198,-1.161,0.6218,1
0.1542,0.8408,-4.212,-1.439,0.6025,1
0.1579,0.8425,-3.906,-0.9998,0.6205,1
0.1287,0.7843,-3.405,-0.7826,0.6129,1
0.1568,0.84,-4.374,-1.289,0.6204,1
0.1333,0.7995,-3.834,-1.284,0.5955,1
0.131,0.7936,-4.176,-1.42,0.6021,1
0.1643,0.8599,-3.795,-1.245,0.5964,1
0.1571,0.848,-3.656,-1.143,0.597,1
0.1495,0.8304,-3.63,-0.9439,0.6113,1
0.1661,0.8576,-4.021,-1.181,0.6122,1
0.147,0.8242,-3.783,-0.9715,0.6168,1
0.1318,0.7938,-2.909,-0.641,0.5968,1
0.1626,0.8546,-3.734,-1.075,0.6062,1
0.157,0.8405,-4.072,-1.091,0.6213,1
0.1526,0.8325,-3.969,-1.001,0.6235,1
0.1314,0.7922,-3.124,-0.7211,0.6025,1
0.1316,0.7962,-4.096,-1.475,0.5946,1
0.1415,0.8197,-3.056,-0.923,0.5812,1
0.1397,0.8163,-3.132,-1.026,0.5773,1
0.1668,0.8639,-3.743,-1.201,0.597,1
0.1616,0.8569,-3.676,-1.216,0.5924,1
0.1598,0.8436,-4.197,-1.123,0.6246,1
0.1207,0.7654,-4.073,-1.192,0.6138,1
0.1692,0.8623,-3.997,-1.174,0.6115,1
0.1343,0.8004,-3.562,-1.034,0.6006,1
0.1305,0.7872,-3.842,-0.9168,0.624,1
0.1337,0.7988,-3.873,-1.196,0.6039,1
0.1395,0.8135,-3.147,-0.872,0.5908,1
0.1633,0.8548,-3.855,-1.122,0.6086,1
0.1435,0.8233,-3.278,-1.011,0.5869,1
0.1294,0.7866,-3.345,-0.793,0.6087,1
0.1644,0.8606,-3.735,-1.225,0.5948,1
0.1391,0.8142,-2.963,-0.8585,0.5809,1
0.1611,0.8564,-3.624,-1.2,0.591,1
0.134,0.799,-4.196,-1.334,0.6091,1
0.1629,0.8557,-3.725,-1.09,0.6046,1
0.165,0.8598,-3.882,-1.257,0.5998,1
0.1639,0.8566,-3.763,-1.091,0.6064,1
0.1295,0.7871,-3.228,-0.7444,0.6064,1
0.1327,0.7944,-3.29,-0.7412,0.6102,1
0.131,0.7906,-3.163,-0.6997,0.6066,1
0.1614,0.8582,-3.635,-1.275,0.5859,1
0.1486,0.8258,-4.154,-1.139,0.6215,1
0.1294,0.7858,-3.505,-0.827,0.6144,1
0.1429,0.8133,-4.299,-1.139,0.628,1
0.1314,0.7939,-3.677,-1.132,0.599,1
0.1651,0.8563,-3.877,-1.082,0.6127,1
0.155,0.8401,-4.193,-1.318,0.6101,1
