 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.696,1.22,2.432,0.597,0.1633,0.856,-3.833,1
2.507,1.21,1.743,0.5871,0.1613,0.8547,-3.758,1
1.899,1.09,1.832,0.4997,0.1343,0.7991,-4.217,1
1.352,1.09,2.428,0.5065,0.122,0.7448,-5.282,1
0.9117,0.91,1.791,0.3289,0.07881,0.6248,-5.502,1
1.045,0.9,1.652,0.2933,0.06848,0.5872,-6.628,1
1.645,1.22,1.921,0.4458,0.1291,0.7915,-2.769,1
1.646,1.1,2.084,0.4645,0.1161,0.7377,-4.6,1
1.926,1.09,1.919,0.5551,0.1486,0.8252,-4.199,1
1.731,1.31,2.031,0.5143,0.1455,0.8289,-3.167,1
2.108,1.22,1.843,0.5817,0.1618,0.8578,-3.502,1
1.874,1.21,1.519,0.4975,0.1405,0.8171,-3.179,1
1.685,1.22,2.469,0.6021,0.1642,0.8586,-3.957,1
2.202,1.08,1.621,0.5588,0.1497,0.8277,-4.198,1
1.833,1.09,2.512,0.5715,0.1542,0.8408,-4.212,1
1.574,1.22,2.537,0.5832,0.1579,0.8425,-3.906,1
1.528,1.09,1.6,0.4655,0.1287,0.7843,-3.405,1
1.739,1.1,2.487,0.5886,0.1568,0.84,-4.374,1
1.89,1.09,1.246,0.486,0.1333,0.7995,-3.834,1
1.842,1.09,1.832,0.485,0.131,0.7936,-4.176,1
2.473,1.21,1.675,0.5982,0.1643,0.8599,-3.795,1
2.496,1.21,1.725,0.5691,0.1571,0.848,-3.656,1
2.466,1.11,1.556,0.5445,0.1495,0.8304,-3.63,1
2.457,1.22,1.718,0.6137,0.1661,0.8576,-4.021,1
1.985,1.1,1.784,0.5397,0.147,0.8242,-3.783,1
1.816,1.1,1.598,0.4647,0.1318,0.7938,-2.909,1
2.473,1.22,1.658,0.5927,0.1626,0.8546,-3.734,1
2.412,1.09,1.685,0.5834,0.157,0.8405,-4.072,1
2.527,1.09,1.552,0.5657,0.1526,0.8325,-3.969,1
1.725,1.1,1.592,0.468,0.1314,0.7922,-3.124,1
1.674,1.09,1.828,0.4847,0.1316,0.7962,-4.096,1
1.937,1.21,1.597,0.4978,0.1415,0.8197,-3.056,1
1.502,1.21,1.855,0.4924,0.1397,0.8163,-3.132,1
2.469,1.24,1.679,0.6064,0.1668,0.8639,-3.743,1
2.318,1.21,1.704,0.5851,0.1616,0.8569,-3.676,1
1.614,1.11,2.53,0.5971,0.1598,0.8436,-4.197,1
1.91,1.09,1.598,0.4469,0.1207,0.7654,-4.073,1
2.112,1.24,1.907,0.6244,0.1692,0.8623,-3.997,1
1.863,1.08,1.322,0.4855,0.1343,0.8004,-3.562,1
1.858,1.08,1.604,0.4817,0.1305,0.7872,-3.842,1
1.647,1.09,1.811,0.4894,0.1337,0.7988,-3.873,1
1.736,1.22,1.772,0.4943,0.1395,0.8135,-3.147,1
2.425,1.22,1.718,0.5987,0.1633,0.8548,-3.855,1
2.026,1.22,1.653,0.5103,0.1435,0.8233,-3.278,1
1.842,1.08,1.576,0.4658,0.1294,0.7866,-3.345,1
2.467,1.22,1.664,0.5968,0.1644,0.8606,-3.735,1
1.709,1.23,1.972,0.4878,0.1391,0.8142,-2.963,1
1.695,1.22,2.505,0.5816,0.1611,0.8564,-3.624,1
1.375,1.09,1.884,0.4974,0.134,0.799,-4.196,1
1.81,1.22,2.281,0.5935,0.1629,0.8557,-3.725,1
2.505,1.22,1.715,0.6033,0.165,0.8598,-3.882,1
1.682,1.22,2.528,0.5982,0.1639,0.8566,-3.763,1
1.884,1.1,1.581,0.464,0.1295,0.7871,-3.228,1
1.707,1.1,1.607,0.4774,0.1327,0.7944,-3.29,1
1.297,1.08,2.009,0.4683,0.131,0.7906,-3.163,1
2.522,1.22,1.743,0.5822,0.1614,0.8582,-3.635,1
2.196,1.09,1.571,0.5538,0.1486,0.8258,-4.154,1
1.974,1.09,1.463,0.4698,0.1294,0.7858,-3.505,1
1.859,1.09,1.947,0.5369,0.1429,0.8133,-4.299,1
1.493,1.08,1.955,0.4767,0.1314,0.7939,-3.677,1
2.533,1.22,1.645,0.6069,0.1651,0.8563,-3.877,1
2.325,1.09,1.886,0.5754,0.155,0.8401,-4.193,1
1.687,1.09,1.613,0.4707,0.1306,0.7887,-3.287,1
1.503,1.22,1.634,0.4878,0.1401,0.8163,-2.802,1
1.728,1.08,1.26,0.4588,0.1256,0.7786,-3.772,1
2.258,1.1,1.638,0.5849,0.1571,0.8427,-4.22,1
2.548,1.23,1.759,0.5773,0.1612,0.8567,-3.401,1
1.69,1.23,2.11,0.6047,0.165,0.8594,-3.912,1
1.791,1.08,1.737,0.4794,0.1318,0.7951,-3.744,1
