 Length, Height, Width, Linearity, Verticality, Class
2.394,1.23,1.762,-1.213,0.8914,1
1.606,1.09,2.431,-1.248,0.882,1
2.239,1.08,1.809,-1.067,0.8869,1
1.808,1.09,1.887,-1.16,0.9386,1
1.306,1.09,2.519,-0.4074,0.9459,1
1.723,1.09,1.987,-1.23,0.9314,1
1.276,1.08,1.993,-0.7433,0.9295,1
1.761,1.24,1.337,-0.6971,0.9035,1
1.721,1.21,2.032,-1.009,0.9218,1
1.844,1.12,2.022,-0.9463,0.8839,1
1.462,1.22,1.757,-0.9905,0.9319,1
1.951,1.09,1.857,-1.157,0.9068,1
1.563,1.09,1.928,-0.7193,0.933,1
1.632,1.24,2.217,-1.136,0.8895,1
1.374,1.08,1.957,-0.8679,0.9352,1
1.592,1.09,2.201,-1.126,0.8949,1
2.492,1.22,1.732,-1.106,0.9053,1
1.553,1.08,1.843,-1.321,0.9504,1
1.861,1.09,1.608,-0.9131,0.9197,1
2.362,1.09,1.601,-1.183,0.9121,1
1.303,1.1,1.657,-0.8324,0.9571,1
1.599,1.22,1.684,-0.7699,0.916,1
1.72,1.22,1.353,-0.6854,0.9329,1
2.455,1.23,1.658,-1.13,0.9026,1
2.513,1.23,1.695,-1.177,0.903,1
1.811,1.12,1.634,-0.7769,0.9236,1
1.986,1.09,1.928,-1.031,0.9111,1
1.736,1.1,2.016,-1.089,0.9163,1
1.84,1.08,1.599,-0.9046,0.9241,1
2.431,1.22,1.705,-1.18,0.9136,1
1.667,1.09,1.39,-0.8637,0.9155,1
1.694,1.22,2.482,-1.146,0.9217,1
2.386,1.09,1.598,-1.113,0.9222,1
1.829,1.1,1.6,-0.8897,0.9244,1
2.542,1.09,1.659,-1.196,0.8964,1
1.62,1.1,1.767,-1.216,0.9154,1
1.624,1.09,2.203,-0.4868,0.9473,1
4.312,1.22,1.809,-1.745,0.9458,1
1.903,1.31,2.013,-1.164,0.8815,1
2.47,1.09,1.874,-1.394,0.9052,1
2.502,1.22,1.738,-1.222,0.8994,1
1.577,1.1,1.777,-1.007,0.9407,1
2.474,1.23,1.669,-1.177,0.908,1
2.42,1.24,1.705,-1.118,0.8956,1
1.531,1.31,1.803,-1.025,0.8933,1
1.351,1.09,2.491,-0.4928,0.9432,1
1.787,1.21,1.329,-0.98,0.9564,1
1.68,1.22,2.105,-1.132,0.8957,1
1.787,1.09,1.979,-1.179,0.9403,1
1.777,1.08,1.588,-0.7453,0.9209,1
2.46,1.22,1.726,-1.155,0.9099,1
1.718,1.21,1.587,-0.9362,0.9396,1
1.783,1.09,1.598,-0.8294,0.9488,1
2.259,1.09,1.801,-1.542,0.9241,1
2.467,1.22,1.71,-1.108,0.9126,1
1.915,1.09,1.147,-0.2024,0.9913,1
1.829,1.09,1.588,-0.8446,0.9446,1
1.741,1.22,1.728,-0.9263,0.9421,1
