 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.568,1.09,1.66,0.4616,0.1284,0.7848,-3.367,-2.513,-0.8547,0.6047,0.3431,0.9326,51.65,49.7,0.3495,0.2048,0.04924,0.391,0.4347,0.1694,0.3317,0.7613,0.2509,2.119,0.002843,17.88,-0.004951,0
1.984,1.22,2.02,0.5938,0.1626,0.8549,-3.792,-2.66,-1.132,0.6047,0.434,0.9115,53.33,50.21,0.177,0.4643,0.006113,0.6161,0.5686,0.2012,0.462,0.9809,0.2509,2.119,0.002843,17.88,-0.004951,0
2.43,1.09,1.906,0.5698,0.1525,0.8358,-4.36,-2.929,-1.431,0.6097,0.4122,0.9188,47.76,39.77,0.4126,0.4486,0.05224,0.8143,0.4798,0.1695,0.4879,1.615,0.2509,2.119,0.002843,17.88,-0.004951,0
1.932,1.08,1.573,0.4715,0.1286,0.7844,-3.759,-2.785,-0.9743,0.6154,0.3511,0.9327,53.86,51.35,0.08427,0.345,0.04697,0.5827,0.3389,0.1645,0.362,1.139,0.2509,2.119,0.002843,17.88,-0.004951,0
1.542,1.09,2.504,0.5854,0.1563,0.8396,-4.344,-3.051,-1.292,0.6188,0.43,0.9168,51.1,46.8,0.193,0.183,0.0616,0.3551,0.8789,0.1709,0.4683,1.729,0.2509,2.119,0.002843,17.88,-0.004951,0
1.755,1.09,1.682,0.4874,0.133,0.7965,-3.857,-2.718,-1.139,0.6074,0.357,0.9132,50.69,48.73,0.3848,0.2059,0.03728,0.4617,0.448,0.1692,0.3596,1.64,0.2509,2.119,0.002843,17.88,-0.004951,0
1.737,1.09,1.623,0.4782,0.132,0.7914,-3.381,-2.665,-0.7163,0.6173,0.3626,0.8951,52.57,50.34,0.2013,0.3395,0.04971,0.4678,0.4079,0.1722,0.3493,1.169,0.2509,2.119,0.002843,17.88,-0.004951,0
1.858,1.08,1.195,0.4681,0.1299,0.7881,-3.393,-2.557,-0.8366,0.6076,0.3492,0.9297,51.78,48.91,0.1392,0.1963,0.04051,0.5614,0.2428,0.1679,0.324,0.8859,0.2509,2.119,0.002843,17.88,-0.004951,0
1.635,1.08,1.413,0.4622,0.1294,0.788,-3.245,-2.411,-0.8349,0.5996,0.3424,0.9317,54.31,52.38,0.3006,0.2529,0.04306,0.4509,0.3296,0.1681,0.3162,0.6877,0.2509,2.119,0.002843,17.88,-0.004951,0
1.502,1.09,1.809,0.4794,0.1312,0.7941,-3.883,-2.591,-1.292,0.5973,0.345,0.9639,51.46,48.21,0.2404,0.4526,0.04268,0.3718,0.4986,0.1686,0.3463,1.45,0.2509,2.119,0.002843,17.88,-0.004951,0
2.53,1.23,1.742,0.5999,0.1622,0.8522,-4.077,-2.831,-1.246,0.61,0.438,0.8957,50.03,46.3,0.3053,0.2333,0.009812,0.8955,0.415,0.2017,0.5041,1.463,0.2509,2.119,0.002843,17.88,-0.004951,0
1.373,1.09,1.984,0.4678,0.1291,0.7844,-3.397,-2.668,-0.7294,0.617,0.3543,0.8896,52.27,48.68,0.2497,0.08348,0.0518,0.2668,0.6135,0.1716,0.3506,1.305,0.2509,2.119,0.002843,17.88,-0.004951,0
