 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.718,1.24,2.355,0.6057,0.1662,0.8619,-3.779,-2.597,-1.182,0.6003,0.4397,0.8977,54.14,51.53,0.2875,0.02283,0.005795,0.4314,0.8022,0.2083,0.4806,1.66,0.2509,2.119,0.002843,17.88,-0.004951,1
2.262,1.22,1.672,0.5832,0.1601,0.853,-3.803,-2.557,-1.246,0.5967,0.4204,0.9289,53,50.17,0.493,0.3626,0.009325,0.7223,0.4449,0.1994,0.4555,1.358,0.2509,2.119,0.002843,17.88,-0.004951,1
1.977,1.09,1.576,0.4461,0.1211,0.766,-3.912,-2.827,-1.086,0.6142,0.3298,0.9465,53.12,49.11,0.02593,0.2894,0.04204,0.5958,0.3153,0.1669,0.3593,1.13,0.2509,2.119,0.002843,17.88,-0.004951,1
1.929,1.08,1.602,0.4647,0.1299,0.7883,-3.231,-2.463,-0.7686,0.6045,0.3473,0.9451,49.88,46.18,0.09351,0.3347,0.03386,0.56,0.3564,0.1693,0.3619,1.156,0.2509,2.119,0.002843,17.88,-0.004951,1
2.498,1.24,1.701,0.6148,0.1676,0.8623,-3.906,-2.702,-1.203,0.605,0.4477,0.8951,50.31,43.42,0.2217,0.2386,0.004167,0.8878,0.4076,0.2084,0.5013,1.497,0.2509,2.119,0.002843,17.88,-0.004951,1
2.289,1.1,1.572,0.5633,0.1513,0.8299,-4.081,-3.024,-1.057,0.6243,0.4209,0.9046,50.71,47.57,0.5056,0.3657,0.06538,0.7423,0.3905,0.1739,0.4355,1.317,0.2509,2.119,0.002843,17.88,-0.004951,1
1.649,1.22,2.464,0.6148,0.1667,0.8604,-4.043,-2.758,-1.285,0.6056,0.4461,0.9054,52.07,48.3,0.2294,0.1272,0.008036,0.4012,0.8685,0.2016,0.4904,1.255,0.2509,2.119,0.002843,17.88,-0.004951,1
1.453,1.09,1.761,0.4849,0.1313,0.7947,-4.133,-2.7,-1.433,0.5992,0.3472,0.9591,49.33,44.63,0.2554,0.3967,0.03743,0.3533,0.497,0.1681,0.3394,1.095,0.2509,2.119,0.002843,17.88,-0.004951,1
1.594,1.09,2.539,0.5989,0.1614,0.8469,-3.991,-2.979,-1.012,0.6236,0.4483,0.894,53.12,49.53,0.285,0.3375,0.055,0.3636,0.9053,0.1779,0.4823,1.063,0.2509,2.119,0.002843,17.88,-0.004951,1
2.393,1.18,1.7,0.59,0.1598,0.8475,-3.989,-2.846,-1.144,0.6135,0.4345,0.8977,52.23,49.93,0.4653,0.3818,0.09574,0.799,0.4301,0.1951,0.4748,1.433,0.2509,2.119,0.002843,17.88,-0.004951,1
1.44,1.31,1.834,0.5138,0.1444,0.8256,-3.296,-2.255,-1.042,0.5855,0.3708,0.8929,53.17,51.34,0.2551,0.3729,0.0183,0.3425,0.5475,0.22,0.37,1.117,0.2509,2.119,0.002843,17.88,-0.004951,1
1.446,1.09,2.399,0.5244,0.1265,0.7527,-5.081,-4.665,-0.4166,0.7156,0.437,0.9446,51.52,49.91,0.3322,0.4578,0.081,0.2803,0.8324,0.1647,0.4258,0.8385,0.2509,2.119,0.002843,17.88,-0.004951,1
1.605,1.22,1.942,0.4908,0.1388,0.8134,-3.158,-2.186,-0.9718,0.5832,0.3551,0.9031,53.22,50.56,0.2898,0.04189,0.0237,0.3477,0.5982,0.1978,0.3813,1.135,0.2509,2.119,0.002843,17.88,-0.004951,1
1.651,1.22,2.388,0.603,0.1634,0.8539,-4.015,-2.819,-1.195,0.6108,0.4418,0.8963,54.19,51.41,0.3221,0.4667,0.00159,0.4203,0.8082,0.201,0.4765,2.019,0.2509,2.119,0.002843,17.88,-0.004951,1
1.946,1.12,1.339,0.4688,0.1297,0.7866,-3.392,-2.619,-0.7738,0.6129,0.3527,0.9082,52.44,49.49,0.0505,0.2531,0.05515,0.6005,0.2602,0.1778,0.3462,1.012,0.2509,2.119,0.002843,17.88,-0.004951,1
2.409,1.12,1.494,0.5557,0.1507,0.8296,-3.838,-2.897,-0.9407,0.622,0.417,0.8867,52.25,50.68,0.1712,0.272,0.0672,0.8226,0.3265,0.1809,0.4433,1.456,0.2509,2.119,0.002843,17.88,-0.004951,1
2.402,1.09,1.945,0.5754,0.155,0.8422,-4.25,-2.782,-1.468,0.6022,0.4125,0.9204,47.27,40.49,0.4501,0.4755,0.04681,0.7959,0.5035,0.1711,0.4902,1.631,0.2509,2.119,0.002843,17.88,-0.004951,1
2.525,1.21,1.684,0.5991,0.1629,0.8542,-3.944,-2.756,-1.188,0.608,0.4379,0.9271,47.93,40.45,0.2109,0.2441,0.004151,0.8928,0.3983,0.1977,0.4963,1.512,0.2509,2.119,0.002843,17.88,-0.004951,1
1.571,1.08,1.605,0.4787,0.1316,0.7915,-3.567,-2.691,-0.8766,0.6136,0.358,0.9231,51.11,47.67,0.2345,0.3414,0.04354,0.4095,0.4202,0.1664,0.332,1.119,0.2509,2.119,0.002843,17.88,-0.004951,1
