 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Max Intensity, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, N.Points, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.639,1.24,2.161,0.6078,0.168,0.8661,-3.623,-2.501,-1.122,0.5969,0.4413,0.8925,227,50.98,44.59,0.3122,0.512,0.01046,0.4657,0.6727,0.2107,0.4497,1.954,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.706,1.08,1.335,0.463,0.1296,0.788,-3.223,-2.428,-0.795,0.6017,0.3445,0.9316,238,52.69,48.65,0.2567,0.234,0.04255,0.4896,0.2937,0.1679,0.3171,0.7374,101,0.2509,2.119,0.002843,17.88,-0.004951,0
2.011,1.09,1.896,0.5606,0.1478,0.8226,-4.592,-3.263,-1.329,0.6269,0.4142,0.8947,255,53.27,48.86,0.06859,0.4412,0.0649,0.6282,0.5008,0.1671,0.432,1.065,108,0.2509,2.119,0.002843,17.88,-0.004951,0
2.518,1.22,1.735,0.5888,0.1622,0.8571,-3.721,-2.508,-1.212,0.5951,0.4246,0.9178,242,52.37,49.05,0.3379,0.3073,0.01196,0.8714,0.4197,0.2011,0.4974,1.493,98,0.2509,2.119,0.002843,17.88,-0.004951,0
2.431,1.31,1.697,0.6294,0.1709,0.8663,-4.005,-2.753,-1.253,0.6061,0.4577,0.8746,219,48.84,40.87,0.08289,0.2012,0.0405,0.8539,0.4261,0.2251,0.5017,1.544,103,0.2509,2.119,0.002843,17.88,-0.004951,0
2.178,1.1,1.784,0.545,0.143,0.8125,-4.681,-3.365,-1.316,0.6314,0.4047,0.8925,223,50.69,47.79,0.003071,0.3896,0.0675,0.6982,0.4398,0.1685,0.4355,1.197,107,0.2509,2.119,0.002843,17.88,-0.004951,0
1.627,1.22,2.198,0.6008,0.1652,0.8602,-3.723,-2.591,-1.132,0.6013,0.4377,0.9119,255,53.71,51.47,0.3162,0.5061,0.006943,0.4577,0.6868,0.2036,0.4494,0.7739,109,0.2509,2.119,0.002843,17.88,-0.004951,0
1.246,1.09,1.81,0.4705,0.1303,0.7877,-3.338,-2.617,-0.7203,0.6146,0.3559,0.902,219,48.53,41.63,0.2267,0.2584,0.04787,0.2622,0.5376,0.1723,0.324,1.068,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.761,1.09,1.587,0.4734,0.1309,0.7893,-3.378,-2.631,-0.7469,0.6145,0.3573,0.907,237,52.35,49.48,0.1533,0.3236,0.04797,0.4975,0.3708,0.1724,0.3469,1.136,108,0.2509,2.119,0.002843,17.88,-0.004951,0
2.433,1.22,1.69,0.5948,0.1632,0.8581,-3.813,-2.559,-1.254,0.5967,0.4287,0.9127,218,53.24,50.24,0.4184,0.3063,0.006094,0.8326,0.4165,0.201,0.4834,1.401,101,0.2509,2.119,0.002843,17.88,-0.004951,0
2.487,1.24,1.653,0.5959,0.1644,0.8587,-3.612,-2.575,-1.037,0.603,0.4372,0.9018,252,53.29,51.59,0.4247,0.2831,0.002129,0.8573,0.4009,0.2091,0.4891,1.379,101,0.2509,2.119,0.002843,17.88,-0.004951,0
2.268,1.22,1.811,0.5974,0.1641,0.8592,-3.771,-2.569,-1.202,0.5984,0.4324,0.8974,223,50.95,47.98,0.04584,0.3623,0.003363,0.7469,0.4736,0.2028,0.4744,1.732,105,0.2509,2.119,0.002843,17.88,-0.004951,0
1.884,1.08,1.749,0.4758,0.1301,0.7903,-3.828,-2.668,-1.161,0.6044,0.3472,0.9001,255,53.38,50.52,0.1535,0.3617,0.03206,0.5337,0.4236,0.1663,0.3746,1.209,108,0.2509,2.119,0.002843,17.88,-0.004951,0
2.307,1.08,1.6,0.5442,0.1486,0.8279,-3.759,-2.766,-0.9933,0.6139,0.4043,0.9089,255,51.76,49.48,0.06426,0.3471,0.052,0.7627,0.3651,0.1704,0.4327,1.299,107,0.2509,2.119,0.002843,17.88,-0.004951,0
1.858,1.22,1.403,0.4927,0.1379,0.8113,-3.417,-2.275,-1.141,0.5844,0.3531,0.9398,223,52.31,49.3,0.1494,0.2497,0.02653,0.5708,0.302,0.1958,0.3562,1.438,97,0.2509,2.119,0.002843,17.88,-0.004951,0
1.528,1.22,1.6,0.4856,0.1381,0.8097,-2.904,-2.218,-0.6856,0.5924,0.3614,0.9383,248,49.7,45.36,0.208,0.3489,0.0124,0.3926,0.4246,0.2002,0.3391,1.071,105,0.2509,2.119,0.002843,17.88,-0.004951,0
1.665,1.22,1.799,0.4967,0.1386,0.8118,-3.426,-2.367,-1.059,0.5913,0.36,0.9494,223,52.61,49.27,0.2142,0.4002,0.0141,0.4324,0.4933,0.1957,0.3738,1.16,98,0.2509,2.119,0.002843,17.88,-0.004951,0
1.934,1.08,1.559,0.4633,0.1298,0.7887,-3.205,-2.412,-0.7927,0.6009,0.3446,0.9334,233,52.6,48.84,0.09383,0.334,0.04337,0.57,0.3371,0.1677,0.3583,1.151,104,0.2509,2.119,0.002843,17.88,-0.004951,0
2.324,1.22,1.676,0.5883,0.1634,0.8607,-3.565,-2.389,-1.176,0.5897,0.4229,0.9033,255,52.19,49.01,0.495,0.3665,0.01467,0.7505,0.4426,0.2032,0.4654,1.377,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.85,1.09,1.319,0.487,0.1319,0.7953,-4.104,-2.742,-1.362,0.6029,0.3511,0.953,246,51,48.84,0.3259,0.247,0.0382,0.5493,0.3004,0.1666,0.3388,1.545,98,0.2509,2.119,0.002843,17.88,-0.004951,0
2.164,1.22,1.679,0.6001,0.1653,0.8609,-3.678,-2.561,-1.117,0.6001,0.4372,0.9105,223,50.9,48.09,0.5025,0.3606,0.01379,0.6799,0.465,0.2045,0.4498,1.333,105,0.2509,2.119,0.002843,17.88,-0.004951,0
2.472,1.22,1.705,0.6139,0.1665,0.8582,-3.982,-2.824,-1.158,0.612,0.4511,0.894,219,53.92,49.56,0.4015,0.2425,0.001283,0.8684,0.4183,0.2029,0.4965,1.377,97,0.2509,2.119,0.002843,17.88,-0.004951,0
1.937,1.08,1.54,0.4669,0.1308,0.7914,-3.22,-2.406,-0.8143,0.5999,0.3465,0.9523,255,51.59,48.93,0.07863,0.3328,0.03919,0.5782,0.3272,0.1689,0.3581,1.135,108,0.2509,2.119,0.002843,17.88,-0.004951,0
1.712,1.22,1.749,0.4936,0.1393,0.8142,-3.192,-2.219,-0.9728,0.5851,0.3577,0.9322,255,53.22,51.09,0.2255,0.3698,0.02286,0.4482,0.4716,0.1969,0.3722,1.193,109,0.2509,2.119,0.002843,17.88,-0.004951,0
2.509,1.09,1.587,0.5618,0.152,0.8324,-3.948,-2.915,-1.033,0.62,0.4187,0.9293,218,50.45,46.91,0.3901,0.2999,0.05378,0.8623,0.3597,0.1733,0.4651,1.394,99,0.2509,2.119,0.002843,17.88,-0.004951,0
2.4,1.24,1.643,0.6097,0.1661,0.8587,-3.884,-2.755,-1.129,0.6095,0.4477,0.891,223,52.29,49.4,0.4701,0.3157,0.004486,0.8191,0.4155,0.2083,0.481,1.351,98,0.2509,2.119,0.002843,17.88,-0.004951,0
1.667,1.23,2.394,0.6099,0.1673,0.8635,-3.79,-2.604,-1.186,0.6006,0.4428,0.9228,233,53.56,50.88,0.3074,0.4482,0.007336,0.4228,0.8171,0.2052,0.4817,2.002,106,0.2509,2.119,0.002843,17.88,-0.004951,0
1.967,1.08,1.518,0.4655,0.1285,0.7854,-3.554,-2.59,-0.9644,0.6057,0.3439,0.9577,255,52.79,49.51,0.02433,0.3237,0.04449,0.5982,0.3124,0.1663,0.359,1.098,107,0.2509,2.119,0.002843,17.88,-0.004951,0
1.609,1.1,2.237,0.5865,0.1564,0.8393,-4.35,-3.076,-1.274,0.6204,0.4319,0.8921,255,52.26,48.4,0.3513,0.5388,0.06721,0.4337,0.7121,0.1745,0.4401,0.7359,107,0.2509,2.119,0.002843,17.88,-0.004951,0
1.875,1.09,1.907,0.4805,0.1325,0.7981,-3.725,-2.461,-1.264,0.5914,0.3444,0.9414,248,51.05,49.28,0.4223,0.1173,0.02813,0.4541,0.551,0.1703,0.3918,1.731,98,0.2509,2.119,0.002843,17.88,-0.004951,0
1.783,1.09,1.597,0.4606,0.1283,0.7831,-3.205,-2.535,-0.6706,0.6116,0.3487,0.9095,237,53.11,49.98,0.138,0.3313,0.0495,0.4909,0.3735,0.1725,0.3456,1.13,104,0.2509,2.119,0.002843,17.88,-0.004951,0
2.463,1.22,1.681,0.5833,0.1628,0.8606,-3.445,-2.325,-1.12,0.5876,0.4198,0.9174,233,53.18,48.45,0.2879,0.257,0.02371,0.8465,0.3973,0.2045,0.4828,1.447,99,0.2509,2.119,0.002843,17.88,-0.004951,0
2.007,1.08,1.485,0.4603,0.1292,0.7869,-3.134,-2.399,-0.735,0.6018,0.344,0.9323,234,55.14,51.69,0.01591,0.296,0.03818,0.6029,0.3054,0.1685,0.3589,1.113,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.934,1.07,1.58,0.4635,0.1283,0.784,-3.445,-2.591,-0.8541,0.609,0.3458,0.9411,227,51.21,47.85,0.09475,0.3336,0.04315,0.5668,0.3487,0.1632,0.3595,1.156,105,0.2509,2.119,0.002843,17.88,-0.004951,0
2.5,1.23,1.59,0.5919,0.1615,0.851,-3.8,-2.761,-1.039,0.6124,0.438,0.9129,237,52.61,50.43,0.398,0.2935,0.001423,0.8694,0.376,0.2041,0.4832,1.382,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.525,1.08,1.609,0.4686,0.1302,0.7886,-3.35,-2.546,-0.8037,0.6081,0.3504,0.9254,255,51.65,49.28,0.2695,0.3281,0.04748,0.3793,0.429,0.1672,0.3252,1.137,97,0.2509,2.119,0.002843,17.88,-0.004951,0
1.928,1.08,1.553,0.4671,0.1291,0.7871,-3.54,-2.567,-0.973,0.6043,0.3444,0.9586,233,53.81,50.12,0.07436,0.3447,0.04469,0.5761,0.3326,0.1663,0.3583,1.125,109,0.2509,2.119,0.002843,17.88,-0.004951,0
2.37,1.09,1.595,0.5773,0.1554,0.8367,-4.025,-3.008,-1.017,0.6248,0.4325,0.9153,219,50.25,46.65,0.4843,0.3466,0.05883,0.7858,0.3958,0.1744,0.452,1.341,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.709,1.23,1.981,0.4894,0.1396,0.8154,-2.954,-2.101,-0.853,0.5809,0.3562,0.9084,248,50.97,48.92,0.3159,0.0684,0.02351,0.3897,0.5937,0.2024,0.3953,1.578,98,0.2509,2.119,0.002843,17.88,-0.004951,0
1.682,1.21,2.456,0.5973,0.1642,0.8602,-3.773,-2.53,-1.243,0.5954,0.4302,0.9123,234,52.65,50.58,0.2612,0.2428,0.01673,0.4032,0.8551,0.1995,0.4859,1.838,107,0.2509,2.119,0.002843,17.88,-0.004951,0
1.356,1.09,1.996,0.4734,0.1315,0.791,-3.286,-2.57,-0.7166,0.6121,0.3574,0.9084,255,52.34,50.67,0.2207,0.1135,0.05302,0.2652,0.6197,0.1728,0.3526,1.202,101,0.2509,2.119,0.002843,17.88,-0.004951,0
2.075,1.22,1.799,0.6064,0.1654,0.8596,-3.93,-2.676,-1.255,0.6024,0.4394,0.8934,227,52.04,47.88,0.5144,0.2549,0.005903,0.624,0.533,0.2017,0.4529,1.68,104,0.2509,2.119,0.002843,17.88,-0.004951,0
2.407,1.09,1.607,0.5769,0.1551,0.8376,-4.127,-2.985,-1.142,0.62,0.4274,0.9023,248,55.08,52.05,0.4772,0.344,0.06173,0.8097,0.3915,0.1729,0.458,1.358,101,0.2509,2.119,0.002843,17.88,-0.004951,0
1.701,1.23,1.697,0.4932,0.1414,0.8199,-2.868,-2.039,-0.8289,0.5776,0.3585,0.903,237,55.18,51.93,0.2152,0.3548,0.02223,0.4466,0.45,0.2039,0.3669,1.175,105,0.2509,2.119,0.002843,17.88,-0.004951,0
1.697,1.17,2.355,0.594,0.1583,0.8432,-4.393,-3.054,-1.339,0.6176,0.4349,0.8917,224,52.07,49.93,0.3882,0.5079,0.09843,0.4474,0.7745,0.1884,0.4701,2.091,107,0.2509,2.119,0.002843,17.88,-0.004951,0
1.675,1.09,1.394,0.4715,0.1307,0.7898,-3.402,-2.575,-0.8271,0.6089,0.3523,0.9189,223,52.59,49.9,0.2622,0.2602,0.0429,0.4706,0.3254,0.1703,0.3221,0.7223,101,0.2509,2.119,0.002843,17.88,-0.004951,0
1.647,1.31,1.81,0.5154,0.1455,0.8291,-3.24,-2.156,-1.085,0.5789,0.3687,0.8892,233,52.44,48.79,0.3017,0.3966,0.0154,0.4155,0.5215,0.2204,0.3858,1.235,108,0.2509,2.119,0.002843,17.88,-0.004951,0
2.416,1.09,1.911,0.573,0.1554,0.8425,-4.048,-2.752,-1.296,0.605,0.4154,0.925,209,48.05,40.1,0.4517,0.4584,0.04767,0.8039,0.4868,0.1724,0.4877,1.604,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.799,1.09,1.767,0.4912,0.1348,0.8019,-3.785,-2.598,-1.187,0.6003,0.3565,0.9298,255,52.7,50.54,0.3997,0.2671,0.035,0.4799,0.4692,0.1709,0.3733,0.7934,101,0.2509,2.119,0.002843,17.88,-0.004951,0
