 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
2.083,0.92,0.5942,0.599,-32.12,0.8002,0.9378,1
2.071,0.9,0.3644,0.5722,-43.78,0.7956,0.9348,1
2.178,1.41,2.234,0.8718,-4.619,0.6535,0.8911,1
2.807,1.42,2.296,0.9078,-4.415,0.609,0.9133,1
2.416,1.48,2.448,0.942,-3.767,0.5563,0.8471,1
2.431,1.49,2.396,0.9668,-3.138,0.5236,0.872,1
1.982,1.49,1.722,0.9297,-2.107,0.5097,0.8037,1
2.23,1.48,2.456,0.9654,-2.776,0.4864,0.8169,1
2.493,1.48,2.009,0.9404,-3.187,0.5072,0.7405,1
2.335,1.47,2.006,0.888,-4.273,0.5947,0.6982,1
1.38,1.46,2.253,0.7269,-7.343,0.7629,0.7495,1
1.323,1.45,2.1,0.7634,-6.14,0.7242,0.7383,1
1.824,1.46,2.226,0.7722,-5.084,0.7345,0.7766,1
1.82,1.47,2.229,0.7841,-4.691,0.7278,0.7941,1
1.463,1.61,2.417,0.7593,-6.306,0.7503,0.7756,1
1.627,1.61,2.375,0.7559,-6.536,0.7559,0.8109,1
2.221,1.44,2.109,0.743,-6.452,0.7669,0.8121,1
2.673,1.45,1.731,0.7476,-6.321,0.7605,0.8471,1
2.721,1.43,1.706,0.6948,-7.706,0.7882,0.8479,1
2.874,1.59,1.72,0.6544,-7.902,0.7929,0.8377,1
2.85,1.42,1.703,0.5967,-8.439,0.8084,0.8757,1
2.497,1.41,2.179,0.5345,-10.98,0.8289,0.8685,1
3.013,1.42,1.782,0.4409,-11.61,0.8372,0.8899,1
2.975,1.41,2.167,0.237,-13.64,0.8604,0.9177,1
1.427,1.21,1.704,0.8122,-3.078,0.5803,0.9263,1
2.102,1.22,1.775,0.8565,-4.039,0.6132,0.8943,1
1.629,1.09,1.972,0.7855,-3.602,0.6161,0.9723,1
1.545,1.09,2.261,0.7457,-5.711,0.7273,0.9309,1
2.446,1.08,1.715,0.8404,-4.005,0.6063,0.9263,1
1.266,1.09,1.745,0.7831,-3.512,0.6064,0.954,1
1.842,1.09,1.649,0.7675,-4.103,0.6162,0.9368,1
1.967,1.09,1.739,0.7924,-3.95,0.5976,0.9228,1
2.039,1.21,1.713,0.8204,-3.31,0.5845,0.9127,1
2.409,1.08,1.692,0.8442,-4.237,0.6158,0.9214,1
2.396,1.22,1.711,0.8581,-3.604,0.5854,0.9195,1
1.956,1.23,1.925,0.858,-3.496,0.5911,0.9117,1
2.229,1.23,1.834,0.8607,-3.783,0.5989,0.9046,1
2.371,1.23,1.688,0.862,-3.683,0.6053,0.8935,1
1.756,1.22,1.668,0.8225,-3.166,0.5912,0.9174,1
