 Length, Height, Width, Omnivariance, Class
1.58,1.09,1.61,0.1302,0
2.534,1.1,1.243,0.1281,0
1.663,1.22,2.323,0.1663,0
2.453,1.22,1.67,0.1659,0
1.745,1.21,1.886,0.1387,0
1.934,1.1,2.11,0.1613,0
1.531,1.21,1.722,0.1394,0
2.049,1.09,1.927,0.1547,0
2.39,1.09,1.586,0.1468,0
1.797,1.07,1.285,0.129,0
1.958,1.09,1.08,0.1007,0
1.572,1.09,1.671,0.1242,0
1.915,1.21,1.697,0.1394,0
2.008,1.22,1.991,0.1651,0
2.313,1.07,1.678,0.1489,0
1.511,1.1,1.528,0.09868,0
1.89,1.08,1.383,0.1322,0
2.501,1.22,1.672,0.1655,0
1.601,1.08,1.649,0.131,0
2.535,1.1,1.539,0.1548,0
1.384,1.1,1.655,0.1303,0
1.78,1.22,1.79,0.1426,0
1.643,1.09,2.506,0.1479,0
1.681,1.09,1.84,0.1344,0
1.898,1.09,1.431,0.1316,0
1.987,1.09,1.519,0.1224,0
2.424,1.22,1.684,0.16,0
1.832,1.08,1.221,0.1286,0
1.864,1.1,1.274,0.1006,0
1.591,1.08,1.638,0.1278,0
1.909,1.07,1.231,0.1279,0
1.672,1.08,1.581,0.1283,0
1.989,1.09,1.578,0.1252,0
2.061,1.22,1.776,0.1617,0
1.297,1.1,1.705,0.1295,0
2.24,1.22,1.673,0.1611,0
1.558,1.08,1.543,0.1269,0
2.394,1.22,1.756,0.165,0
1.595,1.07,2.341,0.1507,0
1.905,1.09,1.96,0.154,0
2.417,1.21,1.715,0.1635,0
1.644,1.09,1.582,0.1263,0
1.796,1.22,1.772,0.1396,0
1.79,0.96,1.23,0.1257,0
1.264,1.09,1.846,0.1328,0
1.553,1.09,1.556,0.1266,0
1.828,1.09,1.622,0.1327,0
2.518,1.22,1.775,0.1652,0
2.422,1.22,1.679,0.1695,0
1.971,1.09,1.815,0.1325,0
1.571,1.08,1.927,0.1301,0
1.697,1.31,1.839,0.1454,0
1.642,1.08,1.589,0.1301,0
1.668,1.22,2.497,0.1658,0
2.03,1.22,1.706,0.1413,0
1.752,1.1,1.237,0.1296,0
1.375,1.08,1.915,0.1334,0
1.642,1.08,1.591,0.1278,0
1.612,1.12,2.365,0.1509,0
1.726,1.22,1.82,0.1398,0
0.8862,1.1,1.758,0.0903,0
1.246,1.08,1.296,0.07868,0
1.891,1.08,1.236,0.07137,0
1.481,0.91,0.6016,0.05053,0
0.5175,1.46,0.6106,0.03344,3
0.542,1.58,0.6655,0.03411,3
0.566,1.59,0.5353,0.03308,3
0.4299,1.59,0.528,0.02921,3
0.4846,1.58,0.706,0.03308,3
0.4219,1.45,0.6762,0.03049,3
0.5293,1.51,0.6984,0.03887,3
0.4616,1.49,0.484,0.02925,3
0.5122,1.49,0.4914,0.02744,3
0.4651,1.51,0.5599,0.02936,3
0.3971,1.51,0.597,0.0311,3
0.4678,1.5,0.6121,0.03205,3
0.4599,1.5,0.7263,0.03417,3
0.4644,1.5,0.604,0.03403,3
0.4674,1.49,0.6399,0.02813,3
0.507,1.39,0.5037,0.0228,3
0.5141,1.4,0.5672,0.02546,3
0.4563,1.38,0.543,0.02403,3
0.5421,1.41,0.524,0.02557,3
0.5279,1.4,0.5362,0.0236,3
0.4416,1.4,0.5023,0.02312,3
0.5599,1.41,0.4387,0.02644,3
0.4047,1.4,0.5118,0.02434,3
0.4707,1.39,0.5631,0.02761,3
0.415,1.41,0.5544,0.02791,3
0.5409,1.4,0.4929,0.02549,3
0.5023,1.41,0.4765,0.02554,3
0.5469,1.41,0.4275,0.02718,3
0.4522,1.42,0.5705,0.02597,3
0.5191,1.42,0.4841,0.02681,3
0.6194,1.42,0.4059,0.02619,3
0.588,1.43,0.5839,0.02624,3
0.4735,1.41,0.4845,0.02477,3
0.5346,1.44,0.5845,0.02508,3
0.5439,1.44,0.5692,0.02773,3
0.5808,1.44,0.5477,0.02756,3
0.5636,1.42,0.4801,0.03024,3
0.6131,1.43,0.4077,0.02874,3
0.6244,1.43,0.581,0.03253,3
0.5833,1.23,0.4759,0.02925,3
0.5173,1.43,0.537,0.03212,3
0.6271,1.45,0.5331,0.03703,3
0.5886,1.43,0.5193,0.03231,3
0.5502,1.43,0.5229,0.0318,3
0.4666,1.43,0.5651,0.03164,3
0.4136,1.44,0.5952,0.02989,3
0.3918,1.44,0.6292,0.03064,3
0.438,1.44,0.5863,0.02709,3
0.4089,1.44,0.5936,0.02883,3
0.4103,1.44,0.6394,0.02821,3
0.396,1.44,0.5829,0.02775,3
0.3929,1.43,0.6114,0.03083,3
0.4648,1.43,0.5589,0.03018,3
0.5859,1.43,0.4284,0.03249,3
0.5731,1.43,0.4755,0.03032,3
0.6183,1.43,0.5226,0.03052,3
0.5148,1.43,0.8237,0.03248,3
0.5874,1.43,0.6076,0.03166,3
0.5251,1.43,0.6915,0.03048,3
0.4471,1.44,0.7445,0.03081,3
0.3966,1.44,0.8689,0.03207,3
0.4704,1.43,0.7423,0.0314,3
0.5977,1.44,0.7117,0.03418,3
0.4805,1.43,0.6769,0.03029,3
0.7326,1.43,0.3339,0.02772,3
0.5825,1.43,0.4258,0.02628,3
0.5723,1.43,0.4194,0.02395,3
0.5987,1.43,0.3574,0.0242,3
0.5308,1.58,0.5085,0.02688,3
0.4572,1.59,0.5469,0.02898,3
0.5317,1.6,0.5134,0.03231,3
0.5716,1.61,0.4809,0.03215,3
0.6317,1.6,0.5464,0.03192,3
0.5212,1.59,0.6555,0.02986,3
0.7232,1.58,0.4602,0.0437,3
0.7006,1.58,0.5606,0.04733,3
1.22,1.55,0.4846,0.05582,3
1.089,1.54,0.4597,0.05059,3
1.047,1.54,0.5137,0.04672,3
0.866,1.54,0.4536,0.03412,3
0.5475,1.66,0.6137,0.03623,3
0.6525,1.66,0.5379,0.04381,3
0.897,1.66,0.7358,0.05821,3
0.8577,1.66,0.8885,0.06532,3
0.925,1.48,1.101,0.06659,3
0.4725,1.62,0.5306,0.02895,3
0.7051,1.63,0.6447,0.0355,3
0.5599,1.62,0.4705,0.02836,3
0.6942,1.59,0.4665,0.04124,3
0.7716,1.59,0.5604,0.04877,3
0.7707,1.59,0.6171,0.0455,3
0.6036,1.57,0.3143,0.01643,3
0.5282,1.57,0.3787,0.02495,3
0.7322,1.56,0.4868,0.03535,3
0.7364,1.57,0.5451,0.03602,3
0.502,1.56,0.375,0.02628,3
0.7017,1.53,0.5997,0.04173,3
0.7384,1.53,0.5978,0.04615,3
0.656,1.52,0.5782,0.04211,3
0.4689,1.51,0.4707,0.02399,3
0.4393,1.5,0.3951,0.02669,3
0.7705,1.5,0.5578,0.03942,3
0.6926,1.5,0.5144,0.03993,3
0.5569,1.65,0.4648,0.034,3
0.4675,1.63,0.5212,0.0298,3
0.675,1.63,0.5774,0.04582,3
0.7942,1.62,0.7151,0.05243,3
0.6991,1.61,0.6086,0.04647,3
0.4883,1.61,0.5225,0.03002,3
0.4786,1.6,0.5076,0.03407,3
0.7215,1.59,0.5092,0.03843,3
0.8238,1.58,0.5386,0.03743,3
0.6496,1.49,0.4783,0.03373,3
0.459,1.48,0.536,0.02751,3
0.572,1.49,0.4782,0.03848,3
0.6708,1.32,0.5648,0.04048,3
0.7308,1.48,0.5508,0.04556,3
0.5047,1.61,0.7518,0.03799,3
0.4652,1.59,0.4159,0.02611,3
0.7613,1.58,0.5139,0.03697,3
0.8488,1.47,0.7946,0.04301,3
0.6734,1.61,0.8596,0.04242,3
0.332,1.58,0.4425,0.02557,3
0.5512,1.58,0.5509,0.03838,3
0.67,1.58,0.5199,0.04447,3
0.7192,1.57,0.4738,0.04286,3
0.6112,1.58,0.5311,0.04022,3
0.4173,1.56,0.5139,0.02863,3
0.6633,1.55,0.5544,0.04035,3
0.7811,1.55,0.7268,0.04674,3
