Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.546,1.1,2.446,0.5938,0.1585,0.8412,-4.263,1
1.486,1.09,1.623,0.4765,0.1325,0.7933,-3.23,1
1.883,1.09,2.014,0.5655,0.1516,0.8338,-4.292,1
2.532,1.1,1.259,0.5289,0.1283,0.7572,-4.959,1
1.374,1.09,1.937,0.4611,0.1252,0.7756,-3.866,1
1.884,1.21,1.706,0.5021,0.1427,0.8213,-2.995,1
1.89,1.08,1.27,0.4657,0.1299,0.7892,-3.345,1
1.669,1.09,1.593,0.4575,0.1245,0.7738,-3.815,1
2.459,1.09,1.649,0.544,0.1489,0.8286,-3.707,1
1.602,1.09,2.38,0.5789,0.1544,0.8326,-4.167,1
2.099,1.08,1.694,0.5698,0.1522,0.8314,-4.276,1
2.555,1.08,1.59,0.5865,0.1569,0.84,-4.257,1
2.14,1.09,1.691,0.5907,0.1591,0.8449,-4.111,1
1.843,1.31,1.815,0.5149,0.1461,0.8302,-3.112,1
1.621,1.09,1.766,0.4664,0.1287,0.785,-3.514,1
1.887,1.09,1.298,0.4739,0.1332,0.8006,-3.322,1
1.829,1.22,1.723,0.4922,0.1396,0.8155,-3.104,1
2.529,1.09,1.663,0.6159,0.162,0.843,-4.59,1
1.581,1.09,1.58,0.4596,0.1287,0.7858,-3.217,1
1.849,1.09,1.722,0.4765,0.1309,0.7927,-3.753,1
2.269,1.22,1.658,0.6236,0.1679,0.8579,-4.114,1
2.461,1.08,1.949,0.5696,0.1527,0.8374,-4.37,1
1.85,1.09,1.832,0.477,0.1329,0.7992,-3.487,1
1.917,1.09,1.65,0.4626,0.1276,0.7826,-3.557,1
2.52,1.22,1.58,0.5929,0.1625,0.8526,-3.651,1
2.047,1.24,1.809,0.6043,0.1681,0.868,-3.496,1
1.696,1.23,2.457,0.6069,0.1666,0.8617,-3.744,1
2.507,1.22,1.7,0.5932,0.1621,0.8535,-3.826,1
1.626,1.09,1.844,0.461,0.1243,0.7729,-4.005,1
2.525,1.24,1.77,0.6154,0.1689,0.8649,-3.726,1
1.887,1.09,1.825,0.484,0.1328,0.7979,-3.817,1
1.213,1.12,1.84,0.4749,0.1312,0.7906,-3.432,1
1.942,1.1,1.751,0.4781,0.1334,0.7994,-3.427,1
1.639,1.23,2.217,0.6204,0.1672,0.8585,-4.143,1
1.815,1.09,1.622,0.4608,0.1229,0.7692,-4.264,1
1.663,1.23,2.469,0.5992,0.1652,0.8618,-3.71,1
1.938,1.08,1.581,0.4676,0.1301,0.7889,-3.351,1
1.972,1.09,1.625,0.4645,0.129,0.7866,-3.427,1
2.496,1.31,1.719,0.6076,0.1669,0.8668,-3.874,1
1.987,1.23,1.776,0.4938,0.1403,0.815,-2.932,1
1.599,1.08,1.488,0.4634,0.1299,0.7889,-3.189,1
1.871,1.08,1.585,0.4648,0.1305,0.7903,-3.137,1
1.785,1.09,1.324,0.4844,0.1339,0.7969,-3.408,1
1.948,1.23,1.701,0.494,0.1407,0.817,-2.951,1
1.924,1.21,1.713,0.497,0.1393,0.8134,-3.325,1
1.788,1.23,1.736,0.4947,0.1411,0.8185,-2.957,1
1.665,1.22,2.402,0.5934,0.1618,0.8544,-3.954,1
1.794,1.09,1.511,0.4933,0.1342,0.8005,-3.977,1
1.679,1.09,2.388,0.569,0.1548,0.8422,-4.002,1
1.793,1.21,1.376,0.5001,0.1401,0.8155,-3.35,1
1.776,1.23,2.508,0.6019,0.1655,0.8603,-3.711,1
1.731,1.07,1.612,0.466,0.13,0.7891,-3.311,1
1.816,1.07,1.586,0.4648,0.1279,0.783,-3.601,1
2.516,1.22,1.742,0.5941,0.1621,0.8539,-3.882,1
2.253,1.24,1.628,0.6038,0.1669,0.8648,-3.643,1
1.888,1.22,1.522,0.4935,0.1409,0.8187,-2.968,1
1.605,1.09,2.395,0.5624,0.1486,0.8236,-4.528,1
1.886,1.1,1.592,0.4699,0.1288,0.7853,-3.692,1
1.921,1.08,1.65,0.4606,0.128,0.7839,-3.391,1
1.64,1.09,2.096,0.5611,0.1497,0.8258,-4.233,1
1.436,1.1,1.831,0.4912,0.1343,0.8006,-3.863,1
1.818,1.21,1.811,0.496,0.1388,0.8127,-3.387,1
2.078,1.22,1.825,0.6024,0.1647,0.8589,-3.857,1
1.687,1.1,1.743,0.4831,0.1334,0.798,-3.583,1
1.956,1.21,1.704,0.5063,0.1414,0.8181,-3.402,1
2.34,1.22,1.694,0.5817,0.1615,0.8586,-3.607,1
